SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
177,NIFTY 100,Siemens Energy India Ltd.,ENRIN,Electric Equipment,INE1NPP01017
178,NIFTY 100,Siemens Ltd.,SIEMENS,Electric Equipment,INE003A01024
179,NIFTY 100,Solar Industries India Ltd.,SOLARINDS,Chemicals,INE343H01029
180,NIFTY 100,State Bank of India,SBIN,NIFTY PRIVATE BANK,INE062A01020
181,NIFTY 100,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Pharmaceuticals & Drugs,INE044A01036
182,NIFTY 100,TVS Motor Company Ltd.,TVSMOTOR,Automobile Two & Three Wheelers,INE494B01023
183,NIFTY 100,Tata Capital Ltd.,TATACAP,Finance - NBFC,INE976I01016
184,NIFTY 100,Tata Consultancy Services Ltd.,TCS,IT - Software,INE467B01029
185,NIFTY 100,Tata Consumer Products Ltd.,TATACONSUM,Tea/Coffee,INE192A01025
186,NIFTY 100,Tata Motors Ltd.,TMCV,Automobiles-Trucks/Lcv,INE1TAE01010
187,NIFTY 100,Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile Two & Three Wheelers,INE155A01022
188,NIFTY 100,Tata Power Co. Ltd.,TATAPOWER,Power Generation/Distribution,INE245A01021
189,NIFTY 100,Tata Steel Ltd.,TATASTEEL,Steel & Iron Products,INE081A01020
190,NIFTY 100,Tech Mahindra Ltd.,TECHM,IT - Software,INE669C01036
191,NIFTY 100,Titan Company Ltd.,TITAN,Diamond  &  Jewellery,INE280A01028
192,NIFTY 100,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Pharmaceuticals & Drugs,INE685A01028
193,NIFTY 100,Trent Ltd.,TRENT,Retailing,INE849A01020
194,NIFTY 100,UltraTech Cement Ltd.,ULTRACEMCO,Cement & Construction Materials,INE481G01011
195,NIFTY 100,Union Bank of India,UNIONBANK,NIFTY PRIVATE BANK,INE692A01016
196,NIFTY 100,United Spirits Ltd.,UNITDSPR,Breweries & Distilleries,INE854D01024
197,NIFTY 100,Varun Beverages Ltd.,VBL,Consumer Food,INE200M01039
198,NIFTY 100,Vedanta Ltd.,VEDL,Metal - Non Ferrous,INE205A01025
199,NIFTY 100,Wipro Ltd.,WIPRO,IT - Software,INE075A01022
200,NIFTY 100,Zydus Lifesciences Ltd.,ZYDUSLIFE,Pharmaceuticals & Drugs,INE010B01027
201,NIFTY 200,360 ONE WAM Ltd.,360ONE,Finance - Others,INE466L01038
202,NIFTY 200,ABB India Ltd.,ABB,Electric Equipment,INE117A01022
203,NIFTY 200,APL Apollo Tubes Ltd.,APLAPOLLO,Steel & Iron Products,INE702C01027
204,NIFTY 200,AU Small Finance Bank Ltd.,AUBANK,NIFTY PRIVATE BANK,INE949L01017
205,NIFTY 200,Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation/Distribution,INE931S01010
